,PCA1,PCA2,PCA3,PCA4,PCA5,categoria
0,-0.014331143204018303,-0.005517061509715583,-0.0069550148129916695,-0.004511230541868207,-0.001222248596044852,1
1,-0.014331435243613837,-0.005462887667292398,-0.006985978214883254,-0.0043458540331891655,-0.0016401147583842823,1
2,-0.014331115257479557,-0.005561196315344294,-0.006668009076489359,-0.004143910469131461,0.00024339116976143134,1
3,-0.01433085589924163,-0.0055714129880538735,-0.006876355734794825,-0.004155647108848897,-0.00015658169960619403,1
4,-0.014331254044173625,-0.005599104279403346,-0.006763750866236975,-0.00495305466984139,-0.0011322819221215672,1
5,-0.014331049554451688,-0.005544544886396332,-0.006773064862805515,-0.004143148644306785,-0.000609307349399203,1
6,-0.01433112782712255,-0.0055621159818973675,-0.006750672090721244,-0.004631294717851712,-0.0011302235863019433,1
7,-0.014331077013010151,-0.005563097989880385,-0.006916248071184279,-0.0045129928930773815,-0.000612400864754524,1
8,-0.014330933095476584,-0.0055708422292197165,-0.0067221246244823715,-0.004439076299708289,0.00021682495097732766,1
9,-0.01433094915758728,-0.005557432796793742,-0.006781953290180876,-0.004255396768049564,0.00023968018034651017,1
10,-0.014330956287490116,-0.00557854311360412,-0.006782428338518623,-0.004675720024500009,-0.0010633910609055925,1
11,-0.014331209157474675,-0.005497980938298806,-0.006798176126460066,-0.004396379739338536,-0.0014651793870348812,1
12,-0.014331014585114609,-0.005586542774645095,-0.006728027154875546,-0.004978768367164098,-0.000864837641559963,1
13,-0.014330970020598204,-0.005582569624679921,-0.006631552973098366,-0.0040941078831262115,0.0003573157009190289,1
14,-0.014331070919411616,-0.005569948059212675,-0.006944390783333398,-0.004693027930125435,-0.0012060593028644625,1
15,-0.014331172212277959,-0.005528234579630675,-0.006940136956854224,-0.004830876772508561,-0.002041734113669697,1
16,-0.01433097634286972,-0.005464451626567819,-0.0069589482503406505,-0.004069562368547885,-0.0003571280977995055,1
17,-0.014331122881485798,-0.005535618304851799,-0.006887890393261334,-0.004422651823307105,-0.0007225414802938561,1
18,0.9418406508530502,0.007995098401691934,0.00822012675119957,0.004051722334527935,0.000266965552105832,0
19,0.5806118360581245,0.0034369078266216773,0.0033052859927137214,0.001429234728867837,2.6541809892925824e-05,0
20,0.5806118439939485,0.0034372947138299683,0.0033083038924749462,0.0014615098967104747,0.00014674027177131397,0
21,0.5806118384466513,0.0034364673673057387,0.003306383276023599,0.0014368020797285437,4.7254502223237815e-05,0
